Province_State,Country_Region,Confirmed,Deaths
,Afghanistan,929,33
,Albania,356,1
,Algeria,149,0
,Andorra,88,0
,Angola,89,1
,Antarctica,0,0
,Antigua and Barbuda,0,0
,Argentina,145996,297
,Armenia,32,1
Australian Capital Territory,Australia,5918,14
New South Wales,Australia,50334,414
Northern Territory,Australia,1413,3
Queensland,Australia,38272,238
South Australia,Australia,11764,80
Tasmania,Australia,4369,20
Victoria,Australia,23515,711
Western Australia,Australia,26928,83
,Austria,72267,246
,Azerbaijan,1517,77
,Bahamas,0,0
,Bahrain,1678,4
,Bangladesh,431,2
,Barbados,642,3
,Belarus,0,0
Antwerp,Belgium,4027,0
Brussels,Belgium,1655,0
East Flanders,Belgium,3819,0
Flemish Brabant,Belgium,2588,0
Hainaut,Belgium,2489,0
Liege,Belgium,1345,0
Limburg,Belgium,2065,0
Luxembourg,Belgium,421,0
Namur,Belgium,742,0
Unknown,Belgium,288,329
Walloon Brabant,Belgium,691,0
West Flanders,Belgium,3121,0
,Belize,714,0
,Benin,7,0
,Bhutan,81,0
,Bolivia,24881,41
,Bosnia and Herzegovina,392,28
,Botswana,1367,6
Acre,Brazil,1508,1
Alagoas,Brazil,1839,39
Amapa,Brazil,1595,2
Amazonas,Brazil,538,4
Bahia,Brazil,17355,159
Ceara,Brazil,11631,40
Distrito Federal,Brazil,6096,0
Espirito Santo,Brazil,8223,51
Goias,Brazil,51035,172
Maranhao,Brazil,3601,13
Mato Grosso,Brazil,16158,64
Mato Grosso do Sul,Brazil,9901,79
Minas Gerais,Brazil,58024,488
Para,Brazil,4986,50
Paraiba,Brazil,6364,15
Parana,Brazil,47697,241
Pernambuco,Brazil,23524,67
Piaui,Brazil,7265,31
Rio Grande do Norte,Brazil,2070,17
Rio Grande do Sul,Brazil,53704,299
Rio de Janeiro,Brazil,27541,171
Rondonia,Brazil,9369,26
Roraima,Brazil,621,0
Santa Catarina,Brazil,19496,90
Sao Paulo,Brazil,97174,1064
Sergipe,Brazil,1238,18
Tocantins,Brazil,4746,20
,Brunei,9248,0
,Bulgaria,3276,71
,Burkina Faso,19,1
,Burma,135,0
,Burundi,1633,0
,Cabo Verde,29,1
,Cambodia,102,0
,Cameroon,0,0
Alberta,Canada,4166,114
British Columbia,Canada,2877,255
Diamond Princess,Canada,0,0
Grand Princess,Canada,0,0
Manitoba,Canada,593,87
New Brunswick,Canada,2281,138
Newfoundland and Labrador,Canada,418,8
Northwest Territories,Canada,0,0
Nova Scotia,Canada,3848,41
Nunavut,Canada,0,0
Ontario,Canada,24230,365
Prince Edward Island,Canada,882,6
Quebec,Canada,17761,262
Repatriated Travellers,Canada,0,0
Saskatchewan,Canada,1316,45
Yukon,Canada,0,0
,Central African Republic,17,0
,Chad,2,0
Antofagasta,Chile,2902,23
Araucania,Chile,3878,33
Arica y Parinacota,Chile,872,15
Atacama,Chile,3196,14
Aysen,Chile,565,6
Biobio,Chile,7375,46
Coquimbo,Chile,4583,18
Los Lagos,Chile,1899,31
Los Rios,Chile,1951,14
Magallanes,Chile,618,4
Maule,Chile,4690,29
Metropolitana,Chile,28215,247
Nuble,Chile,2799,24
OHiggins,Chile,3025,19
Tarapaca,Chile,1643,12
Unknown,Chile,0,0
Valparaiso,Chile,8892,77
Anhui,China,530,0
Beijing,China,4308,0
Chongqing,China,1473,2
Fujian,China,5533,0
Gansu,China,170,0
Guangdong,China,18408,2
Guangxi,China,9894,0
Guizhou,China,628,0
Hainan,China,16,0
Hebei,China,206,0
Heilongjiang,China,695,5
Henan,China,500,0
Hong Kong,China,227112,1464
Hubei,China,1143,3
Hunan,China,2591,0
Inner Mongolia,China,306,0
Jiangsu,China,1178,0
Jiangxi,China,893,1
Jilin,China,235,0
Liaoning,China,217,0
Macau,China,872,73
Ningxia,China,722,0
Qinghai,China,200,0
Shaanxi,China,1034,0
Shandong,China,845,2
Shanghai,China,827,0
Shanxi,China,1181,1
Sichuan,China,1230,4
Tianjin,China,816,0
Tibet,China,125,0
Unknown,China,16,78917
Xinjiang,China,380,0
Yunnan,China,1648,2
Zhejiang,China,5362,0
Amazonas,Colombia,8,0
Antioquia,Colombia,2120,45
Arauca,Colombia,33,2
Atlantico,Colombia,203,4
Bolivar,Colombia,111,1
Boyaca,Colombia,424,17
Caldas,Colombia,223,13
Capital District,Colombia,7189,83
Caqueta,Colombia,70,0
Casanare,Colombia,73,2
Cauca,Colombia,300,1
Cesar,Colombia,141,3
Choco,Colombia,23,0
Cordoba,Colombia,114,2
Cundinamarca,Colombia,1055,17
Guainia,Colombia,1,0
Guaviare,Colombia,7,0
Huila,Colombia,150,4
La Guajira,Colombia,48,0
Magdalena,Colombia,51,1
Meta,Colombia,205,2
Narino,Colombia,469,15
Norte de Santander,Colombia,224,9
Putumayo,Colombia,79,0
Quindio,Colombia,241,4
Risaralda,Colombia,220,8
San Andres y Providencia,Colombia,21,1
Santander,Colombia,709,32
Sucre,Colombia,41,1
Tolima,Colombia,266,9
Unknown,Colombia,0,-2
Valle del Cauca,Colombia,1434,30
Vaupes,Colombia,2,0
Vichada,Colombia,8,1
,Comoros,10,0
,Congo (Brazzaville),0,2
,Congo (Kinshasa),341,1
,Costa Rica,24489,86
,Cote d'Ivoire,41,2
,Croatia,3458,270
,Cuba,420,0
,Cyprus,11552,29
,Czechia,9503,173
Faroe Islands,Denmark,0,0
Greenland,Denmark,0,0
,Denmark,13944,387
,Diamond Princess,0,0
,Djibouti,0,0
,Dominica,0,0
,Dominican Republic,4555,0
,Ecuador,10776,2
,Egypt,0,4
,El Salvador,0,0
,Equatorial Guinea,4,0
,Eritrea,0,0
,Estonia,2012,58
,Eswatini,99,0
,Ethiopia,1374,0
,Fiji,70,2
,Finland,20414,706
French Guiana,France,502,2
French Polynesia,France,47,0
Guadeloupe,France,2786,10
Martinique,France,3686,13
Mayotte,France,33,0
New Caledonia,France,515,0
Reunion,France,7243,13
Saint Barthelemy,France,38,0
Saint Pierre and Miquelon,France,103,0
St Martin,France,129,0
Wallis and Futuna,France,12,0
,France,215879,2233
,Gabon,1,0
,Gambia,0,0
,Georgia,5360,29
Baden-Wurttemberg,Germany,36248,380
Bayern,Germany,50783,534
Berlin,Germany,14626,166
Brandenburg,Germany,10090,121
Bremen,Germany,3640,34
Hamburg,Germany,6460,150
Hessen,Germany,34186,256
Mecklenburg-Vorpommern,Germany,7757,72
Niedersachsen,Germany,64646,784
Nordrhein-Westfalen,Germany,120729,954
Rheinland-Pfalz,Germany,20735,175
Saarland,Germany,5056,61
Sachsen,Germany,12062,187
Sachsen-Anhalt,Germany,7680,101
Schleswig-Holstein,Germany,10289,133
Thuringen,Germany,4979,138
Unknown,Germany,0,0
,Ghana,64,1
,Greece,0,0
,Grenada,36,0
,Guatemala,23553,104
